,user_name,restaurant_name,comment
0,Björn K.,Opium,"Seriously delicious food, friendly staff helping you out with what goes with what and even how to eat it, Watch out for the deep fried chillies, they're mortal!
Had some dumplings (super yummy), some quinoa (even more yummy) and a desert with sago (sweeeeet)!!!"
0,Jim D.,Opium,Been twice now.  The lunch set is tasty and good value for money.  The regular menu is...  Expensive for what you get.
0,Catherine S.,Opium,My friend and I had a great meal here. Most authentic Asian meal I've tasted but I'm no expert. We had  main noodle dishes and dim sum. Very flavorable. The service was top notch.
0,Wen H.,Opium,"Something that caught my eyes in Changkat due to the vintage Chinese ambience at the corner of Changkat road, we went in to have our dinner. Opium is a bar cum restaurant with a Chinese theme. The decoration is worth a visit to this restaurant. It is also very famous for its cocktails. We ordered Ti-Lung Bramble and Red Lantern Margarita. All their cocktails are served in wooden tray accompanied with 2 different type of nuts.

For main course, we ordered the Crispy Duck Noodles with crispy yee mee noodles served over a rich brown sauce and topped with a smoked duck slices. Another main dish that we ordered is the eye catching Opium Black Fried rice. It is very delicious and very flavorful. The black fried rice comes from squid ink.

Overall the food is delicious however the pricing is a tad bit more on the expensive side. Worth the try."
0,Jonathan S.,Opium,"Ordered the beef rendang, thought it was overpriced until I realized just how much meat they'd given me. And the service was impeccable. Highly recommend"
0,Lars S.,Opium,The salmon Noodle was awesome. The 5 seasoning duck as well. The beef dishes however did not meet our expectations. But beef is always a gamble in aisia if you ask me. Very friendly staff by the name of Marvin.
0,Shandos C.,Opium,"Gorgeous little cocktail bar and restaurant with lots of atmosphere. Most of the bars along this busy strip had screens showing the football, which we decided to skip, in favour of this bar on the corner, which initially had a live musician playing traditional music. The cocktails are fantastic, especially the presentation. However, they were the most expensive drinks we had when visiting Malaysia - about 40 ringgit once tax & service was added ($13 AUD, not much less than I'd pay in Sydney bars)."
0,Ross H.,Opium,Our favorite meal in KL.  Very creative cocktails and solid food.  I highly recommend the wings.  Great atmosphere and service.
0,Peter L.,Opium,"Opium KL has been open only since last year, but it already feels like a fixture in Bukit Bintang and for good reason.  Start with a beautiful  space at a prime corner location, good food and cocktails and a cheerful staff, it's a great place to relax and enjoy.  The retro Chinese décor is inviting, and there is a patio in addition to some very nice booths and regular tables.  On the past three trips, they also had live music on a traditional Chinese string instrument which also added to the atmosphere.  I really love the cocktails here even though I normally stick to traditional cocktails.  The creativity and presentation is awesome, and I normally start off with an Eastern Aviation, a twist on the Aviation but using cherry liquor instead of crème de violette.  I also love the Shanghailander, a nice balance between peated whiskey and lemon juice.  And the presentation of 50 Shades of Grey is quite creative.  As for the food, it's a mix of local and Chinese food.  The black pepper dumpling was a bit soggy.  Better was the Sugarcane prawns, which were fried nicely.  The black fried rice was also quite good, and I've enjoyed the beef rending, served with buns on 3 occasions.  I've been to KL now 3 times during the past year, and each time, I've ended  up at Opium and for good reason, as they do so many things quite well!"
0,T S.,Opium,Ambiance is stunning. Live music on a Guzheng. Fabulous service. Delicious food. On a busy happening street in the heart of KL. Walking distance from many hotels. A must when in KL.
0,Kevin W.,"Ali, Muthu & Ah Hock","Ali, Muthu and Ah Hock Kopitiam is the true 1Malaysia. Just by judging by its name, you can guess that they serve all three Chinese, Malay, Indian cuisine under one roof. To my understanding, they were once were with a famous nasi lemak place in PJ and they branched out to start their own kopitiam.
I'd say the nasi lemak here is actually really good although it is pretty pricey. At the same time, the meehun soto here is quite good too.
The Hainanese chicken rice and chicken chop are really good too.
This place is famous for lunch and to find parking in the area is close to impossible.
Service here is pretty fast as most of the food has a fast preparation time and their nasi lemak is already ready.
Their price is rather reasonable, all about RM10-RM15 there about."
0,Hannah E.,"Ali, Muthu & Ah Hock","First breakfast in KL had to be nasi lemak ayam, and I chose to get it here, where they seems very surprised anyone was ordering chicken at 8am. Everyone else in the place was scarfing their sweet egg toasts and milky coffee.

It took them forever to get it out; I think it was the first order of the day. To be fair, they warned me it would take ten minutes, and, well, my bad for forgetting what southeast Asians mean by ten minutes (35 minutes). But when it came out, it was worth it. Scorching hot freshly fried tender chicken pieces, tiny fish, peanuts, and a pile of deep red savory spicy sambal to mix it with the saturated coconut rice. Just a very satisfying mix.

Topped off by an excellent barley milk tea which was the first non-oversugared specimen I'd ever had, I was well fueled to complete a hot day of walking!"
0,Mansa C.,"Ali, Muthu & Ah Hock","For the 3rd time I've experienced completely incompetent service. Their staff cannot handle large crowds at all. Food and drinks come randomly and one friend waited more than 40 minutes before his food showed up, the  rest of us had finished eating at this point. To be honest the food isn't worth the wait.

If there is more than a few people here stay the hell away. Their kitchen can't cope."
0,Muhi L.,"Ali, Muthu & Ah Hock",Perfect representation of old school Malaysia. Highly recommend their Nasi Lemak with Ayam Goreng . Fast and very clean
0,Vanessa O.,"Ali, Muthu & Ah Hock","The name of this place is already giving you hint of the cuisines that you can find in Malaysia and yes, it is a mixture of Malay, Indian and Chinese cuisines - 1Malaysia so to speak.  Located near to the Petaling Street, there are plenty of parking spaces available here, but if it is at night, you should be extra careful as that area is slightly notorious - gangs are around that area to seek money if you are looking for parking spaces.

The interior offers a vintage feel where the paints are scrap off - and the partially run down look was one of their main selling point of this kopitiam concept. My favourite is definitely their nasi lemak and it is definitely one of the best that I've ever had so far!

This place is a nice place to hang-out and enjoy local cuisine which is a good place for locals, students as well as tourist to have their meal here. Price? Definitely reasonable!! Go ahead and order the Nasi Lemak here!! Highly recommended"
0,Wai Min K.,"Ali, Muthu & Ah Hock","We stumbled upon this kopitiam and really, I'm so glad we did! I was so drawn and attracted by the name of this kopitiam - Ali, Muthu & Ah Hock, which are respectively, very typical Malay, Indian and Chinese names. I really like the setting of this kopitiam - it's a good mix of old and new. And also, they were playing a mix of Malay, Indian and Chinese songs - I thought that was really awesome! Okay, I might have gotten a little bit excited when they played Zee Avi and Zainal Abidin...

Anyway, as for the food - well, we only had the lontong (RM8) and Hainanese chicken chop (RM14). I thought the lontong was okay, but I really enjoyed the Hainese chicken chop! I will definitely be back for more!"
0,Sandra Y.,"Ali, Muthu & Ah Hock","As the name suggests, Ali, Muthu & Ah Hock (AMAH) Kopitiam is definitely a foodstop for all time favourite Malaysian cuisines where you get the famous Malay, the Chinese and Indian foods under one roof. It can be said that this Kopitiam symbolises Malaysian diversity and that our love for food brings us all together. It's situated near the police station and right beside Old China Cafe.

Throughout my meal, they were playing songs sung and composed by Malaysian talents. It's definitely living up to its Malaysian image.

The bowl of lontong I ordered was huge! At least the portion was huge for me. Other than that, the nasi impit (rice cake) wasn't great, it was too tough and the texture was as if it was refrigerated before serving. The sayur lodeh (a coconut based soup) was not bad though, with a generous portion of vegetables. All of these going for RM8 only.

The Hailam Chicken Chop was slightly above mediocre. The juicy chicken chop served with tomato sauce and beans with some fries and sliced vegetables on the side. Sadly, the fries were limp and too salty for my liking. This plate of chicken chop costs RM14.

I would have ordered the Nasi Lemak instead if I knew that AMAH is well-known for it. I guess I'll just have to revisit to try its infamous dish.

Also, AMAH has a branch in Oasis Ara Damansara for those who live around that area."
0,Juan S.,"Ali, Muthu & Ah Hock",We ordered the Roti Jala. Comes with chicken curry. Flavor is very aromatic and not too spicy. Kampung Nasi goreng is good. Topped with fried egg. This place is jammed with lunch crowd. Will be back for more. The interior decor is very nice like mama store.
0,Grace Y.,"Ali, Muthu & Ah Hock",We had a rather large breakfast here one morning. Great nasi lemak. We also had the roti with chicken. I have never had these kind of stringy roti before and it was delicious. Highly recommended if you are in for some real Malaysian food.
0,Bathori T.,"Ali, Muthu & Ah Hock","Came here just for nasi lemak, well it is not as tho, the ayam is crispy and the sauce is tasty"
0,Arnab B.,"Ali, Muthu & Ah Hock",They are fabulous. A little difficult to locate at first but man they are amazing. Just try everything on their menu as I was tempted to do but of course you can only eat that much. What a fabulous experience from start to finish. Quaint little gem.
0,Fairuz Z.,"Ali, Muthu & Ah Hock","One of the very little known places in Petaling Street area, this kopitiam has it own attractions among backpackers communities. The food obviously, authentic malaysian. Love their roti jala and nasi lemak! I wish they served ABC or Cendol too."
0,Ivan L.,"Ali, Muthu & Ah Hock","Nasi Lemak is currently listed as one of the healthiest breakfast by Time magazine.
The famous nasi lemak here is a must try, served with fried chicken marinated with herb n spices.

The food 4/5
Environment 4/5
Service 4/5"
0,Eveline L.,"Ali, Muthu & Ah Hock","Ali, Muthu and Ah Hock has a branch in Oasis Ara Damansara. It is located just behind Old Town Kopitiam."
0,Jason Y.,"Ali, Muthu & Ah Hock","Well known for their Malaysian food, Ali, Muthu, Ah Hock seems like one of those newly hyped Malaysian cuisine restaurant. After all, how many places are able to actually produce good Malaysian food right? I tried it to see how well they could amaze my tastebuds and boy was I not disappointed. Their Nasi Lemak with Ayam Goreng is definitely not overrated over here and is really good. As a fan of nasi  lemak, I've tried many places and I must say this is one of the really good ones. Chicken is hot and freshly fried but not overcooked so its still really juicy with crispy chicken skin. I also tried the kerang curry which is cockles in curry and it was alright although the cockles wasnt quite as big and juicy as i wouldve liked. Prices here are slightly on the high side for Malaysian food with an average of Rm10 and above so not the cheapest place to eat but its definitely worth a try."
0,Louis H.,Kedai Makanan Yut Kee,"Authentic flavor, guaranteed not to be able to found else where.

You just got to try the soup noodle, and the chicken chop. Will not be disappointed. It's cheap yet astounding flavored!

Shop is abit old but it's part of the culture."
0,Andrew B.,Kedai Makanan Yut Kee,"We ate here as a family of four speaking no Malay at all and was pleasantly surprised. Staff were helpful and food was good.
Had a variety of different dishes that included Chinese rice, quail, garlic naan and roti. Kids can be picky but they enjoyed this also.
Lucky we got in about 6:30 as by 7:30 the place was full
Would eat here again, whole meal and four drinks only came to about $35r"
0,Jasmine C.,Kedai Makanan Yut Kee,"It's my first time at the new place and despite the difficulty in parking nearby, I'm liking the new place. A lot more spacious and brighter.

Service was very quick, with menus passed to us as soon as we sat down. We also didn't have to wait too long for the food to be served. Had the Hainanese pork chop and when it came, the portion was very decent and I found it quite tasty. Not as dry as I worried it would be.

The Lum Mee was also not bad, a bit bland to start but easily remedied with black vinegar. I also have fond memories of this place's roti babi and marble cake. All in all, a nice walk down memory lane when dining here."
0,Shuen P.,Kedai Makanan Yut Kee,"Yut Kee is a restaurant that serves traditional Hailam style breakfast and lunch. I use to work nearby and Yut Kee is one of my favourite lunch time places. I start off with their classic famous chicken chop, pork chop, roti babi, hokkien mee, Cantonese style noodles, fish porridge, noodle soup and many others until I tried their belacan fried rice. I'm a very loyal person, once I'm into something, I'll always order the same dish. Belacan fried rice is my favourite dish in Yut Kee and my drink will always be their barley lime. Most people are purposely there on Friday for their ""famous"" roasted pork roll but I find it a little overrated and very overpriced.

Whenever I am there for lunch, I usually take away their kaya roll to snack on during tea time. Most people prefer their butter cake but I'm more into their kaya roll.
Other than lunch, sometimes I am there early in the morning before work for their breakfast too. Usually I will have their traditional half boiled eggs with steamed bread sometimes their fish porridge. A good day always starts with good breakfast."
0,Jay Sern C.,Kedai Makanan Yut Kee,"Roasted pork, roti Babi (pork bread), pork chop, Hainanese noodle and toast bread are good!

Service is good too!

Prepare to wait for 15-30min

Highly recommended!"
0,Penny W.,Kedai Makanan Yut Kee,"Yut Kee is definitely one of the oldest operating Hailam restaurants in town. It doesn't only offer main course meals but cakes too. I went there around 11 am and it is almost full house, nonetheless we managed to get a spot. After our food is served, people started waiting outside of the restaurant already. There are many chairs available to sit while waiting for your turn. So I advice you be early, if you want to eat there!

I got to try fish and chips, pork chop and chicken chop. The portion is definitely worthy for the price! One of the most famous dishes is pork chop but unfortunately, it was disappointing for me. The meat was tough and I had hard time chewing it. For the other two dishes, I quite enjoy it but the fried fish fillet is a tad too oily.

Oh right, I forget to mention that it is very difficult to find parking. There was once, I went almost 5 rounds around the area just to get a parking spot."
0,Eugene L.,Kedai Makanan Yut Kee,"This is probably one of the earliest Hainanese Coffee Shops in Kuala Lumpur, this place is also called ""Jacks"" if I remembered it correctly from my dad. This place is famous for their Kaya Rolls and Marble Cakes (Although lately their quality has been on a decline lately, but it's still nice though).

This place is usually packed during breakfast and lunch hours as it is frequent by people working nearby. Their signature dishes are Belacan Fried Rice, Roti Babi, Hainanese Chicken/pork chops, Pork Roast and fish porridge.

My personal favourite here has got to be their Chicken Chop which I can finish 2 servings by myself (It doesn't mean I'm a glutton, maybe their portion is a little too small?). Other than that, I would say the beauty about having to dine here is actually the environment, it is about the most authentic experience you can find in KL if you're looking for old fashion/vintage Chinese Coffee Shop, This is IT!"
0,Julian O.,Kedai Makanan Yut Kee,"I've been coming here for the past 5 years now even when they used to be in the much smaller coffee shop that could barely fit 10 tables. The Hainanese Chicken Chop and Hailam Mee are the clear standouts here - you'll be hard pressed to find either dish in all of KL and both dishes couldn't be executed any better here. The Chicken Chop comes with the most tender chicken thigh ever with a light, delicate brown sauce. The Hailam Mee packs a punch of flavor - salty with the right balance of sweetness. Perfect for a hearty breakfast. Get 2 dishes if you're hungry."
0,Stan N.,Kedai Makanan Yut Kee,"Very welcoming and warm service at this eatery. Very patient and friendly wait staff and owner. Came here for the famous Roti Babi and I was not disappointed. The Roti is nicely toasted and it is warm, soft and fluffy. Within it is a nicely seasoned filling of pork (hence Babi) and onions. Wished I could eat more but I also ordered the Hailam Mee which was also good and had a good portion of pork lard! Yums! Must come back for the chicken chop which I noticed comes with a side of toast."
0,Sue F.,Kedai Makanan Yut Kee,"I love this place because of the nostalgia factor. I was a little sad when they moved to their new location last year, but I found the food to be of the same quality. The pork chops were still as good, and the Hailam mee was still slippery and slimy as I remembered it.

My favourite here will always be the marble cake. Typical to Hainanese style cakes, it's oilier than some people are used to but I absolutely devour it every time I make a visit. Amazingly, the owners also managed to keep the setting of the place similar by reusing the furniture they had in the previous lot.

Yut Kee will always have a special place in my heart, and I hope never to see it go."
0,Alexander Kim Wooi L.,Kedai Makanan Yut Kee,"The legendary Yut Kee had been moved from the front row shop beside the main road to this shop behind around a year ago, but nothing about the crowd has changed. That's even if you are here at 8 in the morning for breakfast, the crowd is still there, mainly comprised of those who are working nearby.

If you are here during Friday and the weekends, which is when they are serving their infamous pork loin - be here even earlier as their pork loin runs out pretty quickly! That being said, yes - they don't do serve this on the other weekdays, so note this to avoid any disappointment!

Lum mee is another of my repeated order when I'm here. Of course, this would just be my personal preference as the noodles they use to prepare their lum mee here is thicker than the usual lum mee's you would find elsewhere. And, if you are familiar with Yut Kee, you would know about their chicken chop as well - definitely evoke feelings of nostalgia with their sauce and each bite of it.

As they serve pork loin here as their signature dish, you would know that this place is non-halal. So, the next thing that I also like about the place would be their roti babi - a piece of toast coated with egg and heavily buttered and fried to golden brown, wrapping a full load of pulled pork prepared with a lot of onions with it. The owner told me that I should eat it with the L&P sauce, but I personally find it to be equally distinct tasting just on its own too.

Definitely a place that I wouldn't mind waking up early for their breakfast during weekends - a small and old shop with lots of comfort foods!"
0,Chong-Te O.,Kedai Makanan Yut Kee,"It's hard to find good authentic traditional Malaysian Hainanese food these days, I have been coming to Yut Kee since I was a little boy, the family run business has stood the test of time and still going strong after all these years!!!"
0,Michelle C.,Kedai Makanan Yut Kee,"There is plenty of hype surrounding this place and one needs a lot of patience especially since the line is insanely long. When I went there on a Saturday afternoon, my family and I had to wait about an hour and a half to get in. The management has a very reliable waiting list system and there is a sating area for those who are waiting.

the food is good and lives up to its name. It is also very affordable. In my opinion their Lum Mee is one of the best dishes here, as well as their pork chop. Prices are reasonable."
0,Gladys Y.,Kedai Makanan Yut Kee,"It was probably billions of years ago that my boyfriend first brought me to this pork chop place. He promised me it was going to be so delicious, and it is. We still go there regularly until now. :)

Previously, this place tried to maintain the essence of Malaysian heritage by not renovating their shop; the yellowish walls, the colourful windows and tiles, and even the antique furniture and cutleries. Eventually as the shop gets more and more famous, it failed to contain the number of visitors especially on weekends; making such a huge queue each time we pay a visit. However, in the end they renovated to a new bigger place now, still maintaining the heritage feel, but way less crowded and more organized. Good job, Yut Kee!

Our favourite dishes at the restaurant (and our staple orders) are the pork chop, kaya French toast, nasi goreng kampung, and we normally ""tapao"" their handmade kaya spread and kaya roll cake too. If you are planning to visit this shop anytime soon, please try these dishes I mentioned; they are seriously tasty that we can never eliminate even one dish each time we visit. ^_^ Price wise, it is not too expensive and totally worth it! My boyfriend and I normally spend around RM 60++ inclusive the foods we packed home. Go go go try if you haven't yet! :)"
0,Rebecca W.,Kedai Makanan Yut Kee,"Yut Kee has been around for ages, and they are famous for serving Hainanese cuisine. They have now moved to a new location at Jalan Kamunting in KL, and the place is still packed as usual.

One of the signature dishes is the Hainanese Chicken Chop - fried chicken topped with brown sauce, potatoes and mixed vegetables. The chicken was moist and I like the brown sauce a lot, it's very flavourful. I once tried the Pan Fried Mee Sua, and it was surprisingly good. I wasn't expecting much, but the mee sua was crispy and you can taste the fragrance of the garlic in it. I tasted very close to the ones my aunty used to make for me when I was young.

They serve some amazing kaya too - rich texture and not too sweet. With their amazing kaya, they serve some nice Kaya Swiss Roll too. The rolls were buttery and light, and the kaya filling was just heavenly.

Yut Kee is really a nice kopitiam to have some authentic Hainanese cuisine at a reasonable price. The downside would probably be the crowd, and the waiting time."
0,Evonne M.,Kedai Makanan Yut Kee,Not really the best place to get nice food in kl. I don't mind ordering the fried loh mee and skip the rest
0,Julian T.,Kedai Makanan Yut Kee,"Yut Kee has been around for such a long time now and people still crowd this classic place. I often visit during my lunch break from classes and that's when offices are off for lunch too, which makes it very hard to find seats. I usually just decide to park in the open carparks around there, I don't particularly remember which, but look for the ones with per-entry rates.

They are known for their Pork Chop and Bun (Roti Babi). I love the Pork Bun, it's a very greasy delight which you might regret devouring so many of it later. If you prefer non-pork options, they also have a Chicken Chop that tastes just as good. They also have dishes like Belacan Fried Rice and French Toast, which are delicious as well.

For some sweet delights, they are also famous for the Kaya Rolls here, but recently I felt like it doesn't taste as good anymore. Maybe it was just that day, I'll find out when I visit again."
0,Vanessa O.,Kedai Makanan Yut Kee,"Before this restaurant moved to their own new building, my mom used to stop by her car at the road side to buy us the kaya swiss rolls and those were the days reminiscing my teenage life. Since they have this new building and had made themselves into headlines, the restaurant had garnered enough media attention as well as the public's attention. Ever since, this place is filled with people and you will need to wait to be seated and not walk in as you like.

First you will expect a long queue but not to worry, there are plenty of chairs for you to sit while waiting. Expect to share tables with strangers - which I don't like! But that's the reality of this restaurant when it became famous. Once you place your order, you will be expected to eat and leave soon after. Since the queue is long outside (usually), people will just stare at you and make you feel uncomfortable.

Food quality wise is not fantastic anymore. Foreigners are cooking the meals these days and you can't expect for more. My favourite is the chicken chop and the toast bread. The noodles or chicken rice is not as good.

Once you finished your food, please make your payment at the counter."
0,Christine W.,Kedai Makanan Yut Kee,"Like walking into a corner of a bygone era.
We took the train and walked -- no parking, no problem.
They get busy so be prepared for a wait.
Order a variety of things, including the roti baba, soft boiled eggs etc."
0,Ann C.,Kedai Makanan Yut Kee,My favourite place ever! Food served almost immediately. Prices are cheap. Yes there is a wait and no reservations but turn over is quick. Be prepared to share tables with other guests. I recommend the hainanese Chicken Chop and also the roast pork during weekends. So many other choices from noodles to rice dishes. Authentic old school coffee shop feel. My childhood favourite. May be biased. But still my favourite place ever!
0,Ornnicha A.,Hong Kee Claypot Chicken Rice,"This is my second time in Hong kee. I was searching the best and authentic clatpot in KL for so long. This place won't let u disappointed.

We came here around 7.30. and we were in line for 1 hour. After we get the table, the food came. It was so good. We added more Chinese sagsage and salted fish.

The service was nice and friendly. When they saw me thried to take a picture of our group. They were trying to help us . They family and staff are cuteeee"
0,Alex P.,Hong Kee Claypot Chicken Rice,Definitely a great spot to try claypot chicken.  Food was super tasty and plentiful however you'll need to be on the look out for some bones with the chicken which isn't that big of a surprise for this type of cuisine.
0,L B.,Hong Kee Claypot Chicken Rice,"Really cool how they're able to replicate this dish outside.  Ive waited longer at a brick and brick for this dish.  Warning, the salty/salted fish is super pungent and salty.  You might want to get it without.  There are 3 different pot sizes.  For one, two, or three people.  The two will feed three.  Does that make sense lol who's on first?"
0,Suria N.,Hong Kee Claypot Chicken Rice,Earlier tonight we shared a table with another couple who were kind enough to let us sat together at their table. We had 2 claypot chicken rice with 'lap chong' or Chinese sausages. Just delicious. We love it. We complimented the dinner with young coconut. Perfect dinner for MYR34 or SGD11 for the two of us.
0,Vinay P.,Hong Kee Claypot Chicken Rice,Pretty good freshly cooked claypot chicken with cheap beers. Rice is nicely seasoned and slightly crispy. Unfortunately no vegetarian claypot options.
0,Kira N.,Restoran Kin Kin,"How did i ever go through life missing out on such an irresistible dish? This dish is none other than the OG chili pan mee at Restoran Kin Kin!!!

It was love at first bite for me when the flavor just plowed through like a wrecking ball! I'm not exaggerating. The dried fish with just the right amount of chili; along with the fried onions, and the perfectly soft, yet chewy noodles, gave my tastebuds their first ever wondrously unforgettable experience to last a lifetime. No one should go through life without experiencing this superbly flavorful dish. Don't be that one person, go here, get this, now!!!"
0,Angelo B.,Restoran Kin Kin,"Came here for bfast. I've never had pan mee before so don't have a benchmark, but I can say that the pan mee here is so good. Great combination of strong flavors. The chilli was extremely delicious too.

It's a hole in the wall type of place, and seemed to be full of locals.

It's a complete steal at only 8rng (approx 2usd).

I will try return."
0,Hannah E.,Restoran Kin Kin,"A great example of a place that does its one menu item perfectly. It doesn't need to add variety. If you want chili pan mee, you come here, and if you don't, you go elsewhere! Simple as that.

The dish itself is simple as well - noodles with anchovy pieces fried like bacon (at first I thought it was bacon), minced pork, and a soft boiled egg waiting to be cracked and its yolk used as a broth of sorts. The accompanying bowl of soft dark green leaves in a mild broth keeps you from burning yourself on the excessive table chili you're guaranteed to put in after you taste how good it is. It's so good that people apparently try to buy it straight, because the owner has written on the tile wall in Sharpie that he doesn't sell it separately!"
0,Andrea W.,Restoran Kin Kin,"This restaurant is located in a really random place and the place is really small and shabby. But, I came here for the chili pan mee, and it was delicious. The bowl of noodles was quite small, and in it were noodles, meat sauce, and an egg. Soup came on the side, and there was chili on each table for additional spice and flavor. I thoroughly enjoyed the noodles, and I highly recommend it! This could also serve as a snack as the portions are quite small (or get two bowls)."
0,Chang L.,Restoran Kin Kin,"A great example of small shop hospitality. The noodles were definitely good, but what takes the cake is how much the owner cares about his business and customers. Walking into this unassuming little shop with prices written on the walls I wasn't expecting much, maybe even a little less. Instead I was overwhelmed by how pleasant the owner was. He helped us order our meals, was attentive and obviously so proud of his noodles. He deserves 5 stars all the way."
0,ChauPha N.,Restoran Kin Kin,"Me and the boyfriend visit Restoran Kin Kin while we were on vacation in Malaysia. We checked Yelp and noticed that this place have a lot of good reviews and so we decided to stop in. The chili pan mee also look delish. When we first walk in, there will be someone to tell you to take a seat, then you just order your drinks and wait for the chili pan mee to come out. So that explains why Restoran Kin Kin doesn't have a menu because they only offer chili pan mee. For drinks, they offer herbal tea and also whatever soft drinks they have in the cooler.

I really liked my chili pan mee. The noodle is definitely homemade and the taste speak for itself. Portion size it's kinda small, if you have a big appetite, you might need to order another bowl.

Overall, I would recommend Restoran Kin Kin."
0,Karen T.,Restoran Kin Kin,"This is a chili pan mee institution. Love the texture of their homemade noodles to the spiciness of their chili flakes and the creaminess of their poached egg.

Definitely a must have when you are in the heart of KL and worth braving the jam for."
0,佩,Restoran Kin Kin,"At first, I was very happy that I can finally find a place to eat noodle in Kuala Lumpur. I was so excited to come here. However, first of all, they did not ask my friend and my permission if we can let other people to sit with us at a round table (which usually should be for us). They just suddenly let two person to sit down at the same table with us. The waiter service was very bad, he did not know English, and never gave us any menu and asked us what to eat. We asked for menu for a long time, but he never gave us as he did not understand English. We are foreigner around here, I did not know any menu over here. At last, he did not wait for our confirmation and placed the noodle to the chef which we did not even know what were our order were. The noodle which the waiter placed was just ok, not the best, but not too bad either, that's why I am giving 2 star for this review. Other than this, everything was bad. I am very disappointed about this local food restaurant in Malaysia."
0,Cat T.,Restoran Kin Kin,"Of all the dishes my friend and I ate during out trip to Malaysia, we both agreed the dry Chili Pan Mee noodles at Restoran Kin Kin was the best. We ate this savory noodle dish at Kin Kin and also at another restaurant that is right across the street. Hands down Restoran Kin Kin was way better. The noodles were glutinous and chewy, the sauce had a perfect balance of seasonings, and the poached egg was done just right. The dish basically comes with a side of soup that was simple and good too. My friend and I didn't know how the order because their wasn't any menu, but shortly after we sat down the waiter just gave us the ""dry"" version. Later we saw on the wall you can order the dry or soup version."
